Name,Exclusive secs,Inclusive secs,% Exclusive,% Inclusive,Module,Source File,Source Line
"[0000000000000001]",0,7.46713,0,94.8842,"","",0
"[0000000000000014]",0,7.46512,0,94.8587,"","",0
"[0000000000000030]",0,7.46713,0,94.8842,"","",0
"[000000314C3DF084]",0,0.0019987,0,0.0253973,"","",0
"[000000314C3DF870]",0,7.46512,0,94.8587,"","",0
"[000000314C3DF890]",0,7.46512,0,94.8587,"","",0
"[000000314C3DF910]",0,7.46512,0,94.8587,"","",0
"[000000314C3DFA30]",0,7.46512,0,94.8587,"","",0
"[000000314C3DFA34]",0,7.46512,0,94.8587,"","",0
"[000000314C3DFB00]",0,7.46512,0,94.8587,"","",0
"[000000314C3DFB08]",0,7.46512,0,94.8587,"","",0
"[000001CF00000000]",0,0.0020048,0,0.0254748,"","",0
"[000001CFCE2C8580]",0,0.0020048,0,0.0254748,"","",0
"[000001CFCE2D2C90]",0,7.46512,0,94.8587,"","",0
"[000001CFCE2D2DA0]",0,0.0020048,0,0.0254748,"","",0
"[000001CFCE2DD7E0]",0,0.0019987,0,0.0253973,"","",0
"BitSet128::operator<<",2.92102,2.92102,37.1172,37.1172,"golomb_openmp_v5","C:\Users\romai\dev\golomb\OptimalGolombRuler\src\search_v5.cpp",63
"backtrackIterativeV5",4.5441,7.46512,57.7415,94.8587,"golomb_openmp_v5","C:\Users\romai\dev\golomb\OptimalGolombRuler\src\search_v5.cpp",213
"sprintf_s",0,0.0020026,0,0.0254469,"golomb_openmp_v5","C:\Program Files (x86)\Windows Kits\10\include\10.0.26100.0\ucrt\stdio.h",1827
"main",0,0.0065087,0,0.0827055,"golomb_openmp_v5","C:\Users\romai\dev\golomb\OptimalGolombRuler\src\main_openmp_v5.cpp",34
"std::operator<<<std::char_traits<char> >",0,0.0025034,0,0.0318105,"golomb_openmp_v5","C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.44.35207\include\__msvc_ostream.hpp",791
"std::basic_ostream<char,std::char_traits<char> >::operator<<",0,0.0040053,0,0.050895,"golomb_openmp_v5","C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.44.35207\include\__msvc_ostream.hpp",293
"std::num_put<char,std::ostreambuf_iterator<char,std::char_traits<char> > >::do_put",0,0.0040053,0,0.050895,"golomb_openmp_v5","C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.44.35207\include\xlocnum",1320
"std::num_put<char,std::ostreambuf_iterator<char,std::char_traits<char> > >::_Iput",0,0.0020027,0,0.0254481,"golomb_openmp_v5","C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.44.35207\include\xlocnum",1617
"std::basic_filebuf<char,std::char_traits<char> >::overflow",0,0.0020027,0,0.0254481,"golomb_openmp_v5","D:\a\_work\1\s\src\vctools\crt\github\stl\inc\__msvc_filebuf.hpp",443
