mpi_procs,threads,total_workers,n,version,time_s,length,states,states_per_sec
1,96,96,12,V1,4.299,85,595464846,1.38e+08
1,96,96,12,V2,0.899,85,204369807,227.45
1,96,96,12,V3,0.874,85,204370741,233.84
1,96,96,13,V1,62.391,106,8429594197,1.35e+08
1,96,96,13,V2,17.729,106,3924597497,221.37
1,96,96,13,V3,17.778,106,3924261477,220.74
1,96,96,14,V1,958.124,127,121267364944,1.27e+08
1,96,96,14,V2,165.123,127,53466569572,323.80
1,96,96,14,V3,164.819,127,53456409386,324.33
2,96,192,12,V1,4.109,85,609934472,1.48e+08
2,96,192,12,V2,2.008,85,204889208,102.03
2,96,192,12,V3,1.985,85,204888872,103.20
2,96,192,13,V1,46.008,106,9355697887,2.03e+08
2,96,192,13,V2,11.850,106,3924567479,331.18
2,96,192,13,V3,11.638,106,3924315133,337.20
2,96,192,14,V1,723.892,127,135305518918,1.87e+08
2,96,192,14,V2,96.102,127,53516448969,556.87
2,96,192,14,V3,95.839,127,53516346201,558.40
4,48,192,12,V1,6.663,85,998136628,1.50e+08
4,48,192,12,V2,0.215,85,206209723,957.18
4,48,192,12,V3,0.228,85,206212833,905.65
4,48,192,13,V1,87.771,106,13693005223,1.56e+08
4,48,192,13,V2,2.967,106,3937863890,1.33e+09
4,48,192,13,V3,3.011,106,3937863984,1.31e+09
4,48,192,14,V1,1487.790,127,194292814168,1.31e+08
4,48,192,14,V2,37.119,127,53517878983,1.44e+09
4,48,192,14,V3,37.031,127,53517637335,1.45e+09
8,24,192,12,V1,4.517,85,1242471130,2.75e+08
8,24,192,12,V2,0.055,85,207555041,3.81e+09
8,24,192,12,V3,0.054,85,207553527,3.85e+09
8,24,192,13,V1,67.467,106,16780401147,2.49e+08
8,24,192,13,V2,0.935,106,3957811141,4.24e+09
8,24,192,13,V3,0.935,106,3957810761,4.23e+09
8,24,192,14,V1,849.285,127,216927914324,2.55e+08
8,24,192,14,V2,13.179,127,53524417673,4.06e+09
8,24,192,14,V3,13.180,127,53524376281,4.06e+09
16,12,192,12,V1,5.526,85,1597536522,2.89e+08
16,12,192,12,V2,0.036,85,209890243,5.85e+09
16,12,192,12,V3,0.038,85,209890561,5.55e+09
16,12,192,13,V1,67.736,106,21328050780,3.15e+08
16,12,192,13,V2,0.672,106,3957870269,5.89e+09
16,12,192,13,V3,0.672,106,3957862499,5.89e+09
16,12,192,14,V1,849.466,127,266783564288,3.14e+08
16,12,192,14,V2,9.727,127,53813977965,5.53e+09
16,12,192,14,V3,9.720,127,53814032549,5.54e+09
